second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
71,high,507,507,10,497,0.980276134122288,5514.56896000127,5962.385988899223,5987.263162639756,5480.331119067028,1.5089209886355086
72,high,502,502,14,488,0.9721115537848606,5607.439226999304,5983.563079700525,5988.656958900137,5549.459026009974,97.09962491033363
73,high,486,486,66,420,0.8641975308641975,5421.033134499339,5943.594092249896,5971.386631600399,4863.889441135821,1.8052171321869537
74,high,513,513,305,208,0.40545808966861596,1496.0535660011374,5641.886475800129,5959.362498480914,2755.1462751247454,2.8203156532981657
75,high,491,491,234,257,0.5234215885947047,5606.318389998705,5998.950242499632,6003.9501104009105,4387.952791676138,99.29750767787482
76,high,500,500,0,500,1.0,5521.427200000289,5960.754503550652,5983.985619319974,5515.598324244042,3.3220880999579183
77,high,499,499,0,499,1.0,5529.669834999368,5962.684160299432,5996.483744539037,5507.581644240502,2.407540671993049
78,high,488,488,0,488,1.0,5524.59757250017,5963.249582899789,5968.993651179953,5509.038734413927,63.07076820039579
79,high,502,502,0,502,1.0,5522.471645999758,5971.381734749139,5996.1652280702765,5520.487445920342,1.1906777585863892
80,high,503,503,0,503,1.0,5517.6934779992735,5973.969521800063,6014.779451599352,5509.190689997988,1.44065560089075
81,high,509,509,0,509,1.0,5479.304747999777,5959.045535200494,5975.75716811858,5506.981402923332,94.80076020008714
82,high,503,503,0,503,1.0,5522.361195000485,5963.902453999981,5980.252412720292,5518.478692387647,1.4075777738980797
83,high,494,494,0,494,1.0,5527.209967499402,5965.524558700326,5977.172921660422,5506.940315277307,89.66705973452922
84,high,502,502,0,502,1.0,5524.904630999117,5964.674191501035,5975.309866210555,5516.733955239033,1.7670757747509902
85,high,514,514,0,514,1.0,5490.907428499668,5957.935848500165,5980.15194954085,5479.469393303528,98.47112689558348
86,high,504,504,0,504,1.0,5446.855154499644,5953.008400498857,5985.094114799795,5385.6745433174565,1.3183517042307362
87,high,510,510,0,510,1.0,5438.891230500303,5961.626597750546,5983.077215480134,5329.212211754894,82.53732864550332
88,high,485,485,0,485,1.0,5380.089976000818,5960.088268999243,5988.5290453203925,5186.906147492744,1.210315100979642
89,high,506,506,0,506,1.0,5190.837221000038,5924.187410750164,5976.424855450296,4694.694491197639,1.2376071745165973
90,high,491,491,0,491,1.0,19.168804999935674,5491.02602900075,5495.839095499468,1676.7861135376547,89.75995899436384
91,high,490,490,0,490,1.0,18.690106000576634,19.647131850069854,43.23725020094573,27.462807373480505,1.2154362766523268
92,high,495,495,0,495,1.0,18.684430000575958,19.72527349989832,41.56179529894872,25.37176487881751,1.2467142862078617
93,high,490,490,0,490,1.0,18.68728849967738,19.434848749642697,40.60227455011047,23.300734959185338,1.2778005744621623
94,high,488,488,0,488,1.0,18.72419899882516,19.746135148943722,46.562293190054326,21.57403608198067,1.214998277737322
95,high,491,491,0,491,1.0,18.69124499899044,21.038926000073843,29.513753900755553,21.143533696552733,7.407793322272482
96,high,492,492,0,492,1.0,18.66738499938947,19.29335345093932,19.67774872993686,18.67963107321433,1.111016041431867
97,high,492,492,0,492,1.0,18.61211049981648,19.27792965025219,24.594710879773608,18.741186355727244,1.0966425973492733
98,high,509,509,0,509,1.0,18.576782000309322,19.19391200062819,19.7374070402293,26.63931232620673,1.1034438415663317
99,high,487,487,0,487,1.0,18.59205899927474,19.32894109922927,22.56581386060132,18.91882278642068,1.1099283110524993
100,high,491,491,0,491,1.0,18.708992000028957,19.689877999553573,28.814614399561886,18.956659376775836,1.2696179237536853
101,high,487,487,0,487,1.0,18.55287699982,19.339654599934875,19.58898803954071,18.62432826285446,1.069402772191097
102,high,500,500,0,500,1.0,18.617937499584514,19.24874260030265,19.858775180746306,20.67815326806158,1.122444750762952
103,high,492,492,0,492,1.0,18.68037600070238,19.462031750117603,26.27199633005143,18.8600191504372,1.1222701245060307
104,high,501,501,0,501,1.0,18.690674000026775,19.282454000858706,19.68839300025138,18.707796339318254,1.1356345075910212
105,high,492,492,0,492,1.0,18.660267999621283,19.71264204930776,21.12686444010251,18.749680959363623,1.3306194467077146
106,high,491,491,0,491,1.0,18.61246100088465,19.40167999964615,29.525800699229926,18.867470101848607,1.1264760223639314
107,high,500,500,0,500,1.0,18.631085999004426,19.251122098285123,19.830607440471795,18.650023251913808,1.1534816995663277
108,high,487,487,0,487,1.0,18.630407999808085,19.24578840043978,19.65750164006749,18.653303320361765,1.0669811539628427
109,high,512,512,0,512,1.0,18.58046449979156,19.369655499940563,32.57962735040563,19.07918407421505,1.1340698011736094
110,high,502,502,0,502,1.0,18.64733200000046,19.422658749044786,20.374843998997676,18.69682741832378,1.162643833322363
111,high,497,497,0,497,1.0,18.565528000181075,19.264357199062943,33.44575303985043,27.067598496997128,1.062200383967138
112,high,501,501,0,501,1.0,18.583119001050363,19.170719999237917,19.50643900090654,20.623413908236138,1.1086425911344122
113,high,513,513,0,513,1.0,18.545602999438415,19.17400899947097,19.41960520009161,18.562002908356323,1.05306868426851
114,high,500,500,0,500,1.0,18.61379399906582,19.259922899709636,27.597409830195815,18.802752173975023,1.1681694996696024
115,high,497,497,0,497,1.0,18.63664600023185,19.43018460078747,20.39690911886283,18.679637531190664,1.2765034585754618
116,high,492,492,0,492,1.0,18.58748300037405,19.239461599772767,19.71557658896927,18.61274084151633,1.099548973616038
117,high,496,496,0,496,1.0,18.623789500452403,19.362716000614455,31.85225230099606,20.936989340721965,1.1601320170484541
118,high,508,508,0,508,1.0,18.574367999462993,19.236907999766117,19.614143029812116,18.610978411431898,1.1134938651593982
119,high,503,503,0,503,1.0,18.59504999993078,19.226200599769072,24.4903534598416,19.002067337948446,1.097286302865541
120,high,493,493,0,493,1.0,18.703929999901447,19.691368799612974,32.253501399609334,19.016387391432012,1.3436952573101721
121,high,512,512,0,512,1.0,18.564170499303145,19.26396344888417,19.677100871303992,18.603513681593853,1.0904420507358736
122,high,489,489,0,489,1.0,18.593291999422945,19.237181599601172,19.751341160590528,18.61654061345328,1.0924837399215903
123,high,496,496,0,496,1.0,18.59847549985716,19.36842500072089,26.8428713507092,18.79805359275114,1.1547641538527387
124,high,508,508,0,508,1.0,18.618254001012247,19.328644950201124,19.716056210636452,18.649218094483295,1.1071224211264052
125,high,512,512,4,508,0.9921875,18.646942000486888,20.057358549729543,42.53565243059708,29.461333835946846,1.397276850821069
126,high,499,499,174,325,0.6513026052104208,18.827181000233395,431.5217026995015,1048.1462986798579,116.13254855915885,1.1443933828559238
127,high,485,485,4,481,0.9917525773195877,18.577726999865263,19.356692200017278,79.13051476032716,27.54929183710627,1.096666204466601
128,high,502,502,456,46,0.09163346613545817,804.8883929996009,4419.613414199557,5937.952777809933,1105.281073239064,1.1049968765291849
129,high,498,498,434,64,0.1285140562248996,2072.34496700039,5897.5541314985085,5972.6777338801,2575.852935277079,2.0131747404775453
130,high,486,486,413,73,0.15020576131687244,4986.828344500282,5649.470868250319,5803.083265648546,4759.639761199587,1.2111034079680394
131,high,495,495,0,495,1.0,5514.960960999815,5960.286078099489,6001.65204867928,5501.289016393922,1.1304859359370314
132,high,511,511,0,511,1.0,5527.3292919991945,5963.119918500524,6017.174958100259,5510.056851140896,1.138400773925241
133,high,486,486,0,486,1.0,5522.560620000149,5970.086075000381,6011.944512850641,5516.876376405392,19.05730590897292
134,high,490,490,0,490,1.0,5520.790251000108,5963.0090937503155,6009.631881260721,5505.337608128583,1.0986473628690874
135,high,490,490,0,490,1.0,5526.181308498963,5960.0989090008625,5998.943429220417,5513.566023263299,62.738984485258726
136,high,509,509,0,509,1.0,5526.409473999593,5962.602311199953,5992.713324600409,5516.4379187525055,1.4201313530065827
137,high,494,494,0,494,1.0,5525.387957500243,5963.394304250869,5977.5129718092285,5518.490654836028,1.8955808371174607
138,high,506,506,0,506,1.0,5525.563841500116,5971.955269000773,5983.673847648788,5497.187692707516,74.18099185224492
