second,phase,offered_rps,attempted,success,errors,error_rate,p50_ms,p95_ms,p99_ms,mean_ms,scheduler_lateness_p95_ms
145,high,496,496,0,496,1.0,20.82324649995826,22.57780900004036,26.18592484991497,21.06271159679211,1.289617233737772
146,high,509,509,0,509,1.0,21.008368000366318,24.81753040010517,34.96014924017802,21.6419112966761,2.9547874856689313
147,high,510,510,0,510,1.0,20.767969499956962,23.315208300346058,26.887980130218242,21.097225598039444,2.6390099991203924
148,high,487,487,0,487,1.0,20.745843999975477,22.161315899847978,25.006597999799848,20.90100706775581,1.2224520721701992
149,high,488,488,0,488,1.0,20.72131300019464,22.213702649855804,24.302674519940407,20.936838772551717,1.2791560905270671
150,drop,79,79,0,79,1.0,21.058631999949284,23.738122299891984,26.785095120121692,21.378584974702132,1.1841109531815162
151,low,79,79,0,79,1.0,21.155820999865682,23.705716300173663,25.386850780023448,21.496334620241203,3.4388573191336036
152,low,80,80,0,80,1.0,21.137294999789447,23.244534349919377,26.191967769791503,21.472237825014417,1.2116638502902786
153,low,80,80,0,80,1.0,21.05425800004923,22.41510370015476,22.727864069665884,21.1490821874861,1.2538398002561735
154,low,82,82,0,82,1.0,21.10215000016069,22.489313399819366,30.8524414000658,21.406636926834967,1.2869465963831317
155,low,81,81,0,81,1.0,21.311675000106334,22.86561900018569,31.807758199738643,21.715380580240485,1.2582993581418123
156,low,82,82,0,82,1.0,21.095516000059433,23.119347600163564,25.105799910052156,21.37905297558973,1.7558050668185399
157,low,81,81,0,81,1.0,20.954238999820518,22.022168999683345,22.626325200235442,21.015992641973696,1.1878769873874262
158,low,79,79,0,79,1.0,20.982493000246905,22.72891039992828,34.29961494010962,21.812645721500395,1.2084270572358944
159,low,80,80,0,80,1.0,20.97512249997635,22.218565300067894,23.838521900001947,21.121816299972807,1.174459300204944
160,low,78,78,0,78,1.0,21.069850999992923,22.800857500055827,24.716302040096718,21.266942038431434,1.2144119587901516
161,low,80,80,0,80,1.0,20.925447499848815,23.38935769987529,30.917395959654478,21.73197048749671,3.4552370498886367
162,low,78,78,0,78,1.0,21.04419449983652,23.339406600143782,28.317494530124364,21.40775687180161,1.2640055233532623
163,low,82,82,0,82,1.0,20.949643500216553,21.911200900240146,22.304589760133236,20.995540926799926,1.18759249901359
164,low,79,79,0,79,1.0,21.00556699997469,21.821876799958773,24.02961723994849,21.141547316433332,1.2825336963487644
165,low,82,82,0,82,1.0,21.158212500040463,23.232813000072387,24.67266166999707,21.373209073200954,1.1989840295427712
166,low,79,79,0,79,1.0,21.341304000088712,23.335670699862018,24.042000259651104,21.518152848088153,1.8961486455736996
167,low,79,79,0,79,1.0,20.948828000200592,22.560785699943153,25.376780680071533,21.203933088617294,1.220724970971787
168,low,79,79,0,79,1.0,20.98590100013098,22.232910000275297,26.928191179813425,21.286104202507758,1.195402540224677
169,low,82,82,0,82,1.0,20.868144500127528,21.628040549671823,22.542599219768817,20.886542902428296,1.2168624047490086
170,low,82,82,0,82,1.0,20.938718000024892,22.014158949718876,26.1744005401897,21.16280779268447,1.1188983954070864
171,low,81,81,0,81,1.0,21.083881999857113,24.80018599999312,39.861115199892204,22.353273950618952,2.8671003456111066
172,low,80,80,0,80,1.0,20.993652500010285,22.455716300351014,23.41672668985666,21.146349787511554,1.2663773503845732
173,low,78,78,0,78,1.0,20.926283499875353,22.36630384986712,30.28746774020879,21.333371717941983,1.167827587141801
174,low,79,79,0,79,1.0,20.882007999716734,21.577999499959333,25.152428699875585,21.12066191142431,1.2093236050532141
175,low,78,78,0,78,1.0,21.111124000071868,22.635878800338105,29.540165130133595,21.412582615387993,1.1958841320847569
176,low,82,82,0,82,1.0,21.20324900010928,23.791728049923222,28.692656380044316,21.819223170717944,2.63481363556366
177,low,78,78,0,78,1.0,20.912102999773197,22.21344884974315,28.090131430071803,21.18622142303395,1.2271908475440798
178,low,81,81,0,81,1.0,20.92829800039908,22.458739999819954,22.936653399756327,21.069691987683914,1.1446266544226091
179,low,78,78,0,78,1.0,21.07851849996223,22.591318849777053,29.05907578006012,21.4327200128187,1.273884374654699
180,low,79,79,0,79,1.0,21.016764000250987,22.47619149975435,26.042497600074054,21.312357316461043,1.2536875357454846
181,low,80,80,0,80,1.0,21.229217999916727,23.451149799916493,24.829388670218577,21.50793476249646,2.2166308502391976
182,low,78,78,0,78,1.0,20.881187499981024,22.698201350158342,23.96197230997132,21.08325603844372,1.2516459924199808
183,low,78,78,0,78,1.0,21.01543000003403,22.085534400252982,22.95682471996315,21.071772269205887,1.1769874746278222
184,low,82,82,0,82,1.0,20.97944699994514,22.379857399641878,24.573409900062867,21.155855085381273,1.1372566744739745
185,low,79,79,0,79,1.0,21.22302599991599,22.370562199876076,23.10919163971448,21.31644143032012,1.2896743658075136
186,low,78,78,0,78,1.0,21.10676499978581,22.912673200016798,23.676804570263812,21.305863756383705,2.7182728064417496
187,low,81,81,0,81,1.0,21.124097000210895,22.89543999995658,25.08584400011388,21.364181024721432,2.871627987587999
188,low,82,82,0,82,1.0,20.916722500032847,22.259770099708476,23.282146110063874,21.01334967071635,1.1349024330456816
189,low,80,80,0,80,1.0,21.04376600004798,22.89702384994143,24.894989450181125,21.243058212468213,1.249560350174761
190,low,78,78,0,78,1.0,21.095203999948353,22.96933560007801,23.970152660072024,21.308726012805963,1.233559147476626
191,low,80,80,0,80,1.0,21.271312000180842,24.545247400214976,26.51181908983743,21.62488602504027,2.2035762498262557
192,low,81,81,0,81,1.0,21.00472800020725,23.14950800018778,28.96922880017885,21.39339444443909,1.2207684812892694
193,low,79,79,0,79,1.0,20.90604800014262,21.677763500110814,28.04421392005676,21.269358835444464,1.1501134670652389
194,low,80,80,0,80,1.0,20.909648500037292,22.315093500264993,23.80546557015349,21.046502324998073,1.2235648500791285
195,low,81,81,0,81,1.0,21.08528100006879,23.089540999990277,26.586067600055685,21.379834901269117,1.2080750002496643
196,low,81,81,0,81,1.0,20.969524000065576,24.297864999880403,30.003324599965726,21.52399335801296,2.75696118524138
197,low,82,82,0,82,1.0,20.84935550010414,22.007670849961873,22.319605319930815,20.95335041464595,1.2029543344397098
198,low,82,82,0,82,1.0,21.012691499890934,21.95323355012988,26.802392300050993,21.134657548766814,1.2204057243934585
199,low,80,80,0,80,1.0,20.996872000068834,22.211286449942236,23.706550070082802,21.121820675023173,1.2449543001139318
200,low,82,82,0,82,1.0,21.07525899987195,22.71886415001063,23.018059910050397,21.162440243903426,1.1409809572342058
201,low,78,78,0,78,1.0,21.167853999941144,23.74034804997791,26.702850230026353,21.625171243572485,1.3534344372601486
202,low,80,80,0,80,1.0,21.00920600014433,22.93710944984468,23.980718179791435,21.213004774989486,1.2279192500500358
203,low,81,81,0,81,1.0,20.97136300017155,22.086484000283235,27.233872400120177,21.18209180251277,1.1945885557906877
204,low,82,82,0,82,1.0,20.926367500123888,22.10700860027828,26.314013560036056,21.162407780471636,1.2327334754218102
205,low,80,80,0,80,1.0,21.0929939999005,22.63413700025012,25.703977909956823,21.336361974971396,1.2644107001960943
